date,location,latitude,longitude,zone,kota_adm,population_density,day_of_week,day_of_month,month,year,day_of_year,is_weekend,season,weather,temperature_c,humidity_pct,rainfall_mm,event_name,event_visitors,has_event,volume_kg,organic_kg,anorganic_kg,recyclable_kg
2024-05-15,Jakarta Pusat - Menteng,-6.1944,106.8367,urban,Jakarta Pusat,12500,2,15,5,2024,136,0,Kemarau,Cerah,31.4,70.9,0.0,Tidak Ada,0,0,181014.01,102538.21,78475.8,31389.45
2024-05-15,Jakarta Pusat - Tanah Abang,-6.1857,106.811,komersial,Jakarta Pusat,22000,2,15,5,2024,136,0,Kemarau,Cerah,32.0,64.3,0.0,Tidak Ada,0,0,388889.97,220434.15,168455.82,55174.32
2024-05-15,Jakarta Pusat - Kemayoran,-6.1567,106.8557,urban,Jakarta Pusat,26500,2,15,5,2024,136,0,Kemarau,Cerah,33.4,58.4,2.9,Tidak Ada,0,0,442923.14,254542.44,188380.7,83991.7
2024-05-15,Jakarta Pusat - Gambir,-6.1754,106.8272,pemerintahan,Jakarta Pusat,9800,2,15,5,2024,136,0,Kemarau,Cerah,32.7,70.7,4.7,Tidak Ada,0,0,147222.07,81458.72,65763.35,22746.86
2024-05-15,Jakarta Utara - Tanjung Priok,-6.1247,106.877,industri,Jakarta Utara,13500,2,15,5,2024,136,0,Kemarau,Cerah,27.7,63.5,10.4,Tidak Ada,0,0,142178.52,86059.14,56119.38,25488.3
2024-05-15,Jakarta Utara - Penjaringan,-6.1171,106.796,urban,Jakarta Utara,19200,2,15,5,2024,136,0,Kemarau,Cerah,30.6,73.8,0.0,Tidak Ada,0,0,344801.14,205856.65,138944.49,75284.68
2024-05-15,Jakarta Utara - Kelapa Gading,-6.1588,106.9054,komersial,Jakarta Utara,11800,2,15,5,2024,136,0,Kemarau,Cerah,34.7,62.5,4.9,Tidak Ada,0,0,219234.47,131720.43,87514.04,41562.75
2024-05-15,Jakarta Barat - Cengkareng,-6.144,106.7284,urban,Jakarta Barat,21500,2,15,5,2024,136,0,Kemarau,Cerah,27.9,76.6,0.0,Tidak Ada,0,0,385756.15,243392.89,142363.27,59740.74
2024-05-15,Jakarta Barat - Grogol Petamburan,-6.1684,106.7851,komersial,Jakarta Barat,19800,2,15,5,2024,136,0,Kemarau,Cerah,33.6,59.8,0.0,Tidak Ada,0,0,401386.73,254387.27,146999.46,75287.71
2024-05-15,Jakarta Barat - Tambora,-6.1503,106.8043,urban,Jakarta Barat,44400,2,15,5,2024,136,0,Kemarau,Cerah,35.8,66.9,5.0,Tidak Ada,0,0,882417.24,505497.13,376920.11,121328.39
2024-05-15,Jakarta Barat - Kebon Jeruk,-6.1901,106.7673,urban,Jakarta Barat,17500,2,15,5,2024,136,0,Kemarau,Cerah,29.5,71.1,5.5,Tidak Ada,0,0,294790.45,188154.02,106636.42,40937.76
2024-05-15,Jakarta Selatan - Kebayoran Baru,-6.2447,106.7969,urban,Jakarta Selatan,14800,2,15,5,2024,136,0,Kemarau,Cerah,34.7,76.5,3.5,Tidak Ada,0,0,250445.36,147875.66,102569.69,52287.23
2024-05-15,Jakarta Selatan - Tebet,-6.2262,106.8492,urban,Jakarta Selatan,21200,2,15,5,2024,136,0,Kemarau,Cerah,35.5,77.4,8.5,Tidak Ada,0,0,378063.9,229888.81,148175.09,59442.34
2024-05-15,Jakarta Selatan - Pancoran,-6.248,106.8418,urban,Jakarta Selatan,17600,2,15,5,2024,136,0,Kemarau,Cerah,36.0,59.0,0.0,Tidak Ada,0,0,265592.29,158973.28,106619.0,43780.87
2024-05-15,Jakarta Selatan - Jagakarsa,-6.3325,106.8256,suburban,Jakarta Selatan,11500,2,15,5,2024,136,0,Kemarau,Cerah,33.7,71.6,1.1,Tidak Ada,0,0,142760.63,81071.23,61689.4,22363.01
2024-05-15,Jakarta Timur - Jatinegara,-6.2194,106.8706,komersial,Jakarta Timur,21800,2,15,5,2024,136,0,Kemarau,Cerah,29.3,68.6,0.0,Tidak Ada,0,0,441511.53,265296.07,176215.46,81076.2
2024-05-15,Jakarta Timur - Cakung,-6.1824,106.9372,industri,Jakarta Timur,14200,2,15,5,2024,136,0,Kemarau,Cerah,30.2,69.8,5.1,Tidak Ada,0,0,199139.85,127570.96,71568.9,32547.31
2024-05-15,Jakarta Timur - Duren Sawit,-6.2361,106.91,urban,Jakarta Timur,17300,2,15,5,2024,136,0,Kemarau,Cerah,32.1,72.7,5.0,Tidak Ada,0,0,314221.66,180054.83,134166.83,53392.34
2024-05-15,Jakarta Timur - Matraman,-6.2026,106.8589,urban,Jakarta Timur,36200,2,15,5,2024,136,0,Kemarau,Cerah,35.6,62.6,1.8,Tidak Ada,0,0,497925.13,317850.21,180074.92,96981.81
2024-05-15,Kepulauan Seribu - Pulau Pramuka,-5.744,106.6145,wisata,Kepulauan Seribu,450,2,15,5,2024,136,0,Kemarau,Cerah,29.8,59.4,10.7,Tidak Ada,0,0,11779.56,7633.54,4146.01,1502.3
2024-05-16,Jakarta Pusat - Menteng,-6.1944,106.8367,urban,Jakarta Pusat,12500,3,16,5,2024,137,0,Kemarau,Cerah,35.4,56.6,1.7,Tidak Ada,0,0,160744.42,94753.88,65990.54,32859.59
2024-05-16,Jakarta Pusat - Tanah Abang,-6.1857,106.811,komersial,Jakarta Pusat,22000,3,16,5,2024,137,0,Kemarau,Cerah,29.7,62.4,0.0,Tidak Ada,0,0,454842.49,266476.15,188366.34,66141.54
2024-05-16,Jakarta Pusat - Kemayoran,-6.1567,106.8557,urban,Jakarta Pusat,26500,3,16,5,2024,137,0,Kemarau,Cerah,29.3,69.1,11.9,Tidak Ada,0,0,463562.43,268704.43,194858.0,75086.95
2024-05-16,Jakarta Pusat - Gambir,-6.1754,106.8272,pemerintahan,Jakarta Pusat,9800,3,16,5,2024,137,0,Kemarau,Cerah,27.5,75.4,5.5,Tidak Ada,0,0,130642.84,72780.36,57862.49,20860.84
2024-05-16,Jakarta Utara - Tanjung Priok,-6.1247,106.877,industri,Jakarta Utara,13500,3,16,5,2024,137,0,Kemarau,Cerah,30.0,58.6,1.0,Tidak Ada,0,0,190835.53,113327.19,77508.34,35724.91
2024-05-16,Jakarta Utara - Penjaringan,-6.1171,106.796,urban,Jakarta Utara,19200,3,16,5,2024,137,0,Kemarau,Cerah,31.8,62.5,6.0,Tidak Ada,0,0,308141.51,170674.49,137467.02,46321.85
2024-05-16,Jakarta Utara - Kelapa Gading,-6.1588,106.9054,komersial,Jakarta Utara,11800,3,16,5,2024,137,0,Kemarau,Cerah,34.6,59.5,6.9,Tidak Ada,0,0,216975.34,140280.02,76695.32,35958.57
2024-05-16,Jakarta Barat - Cengkareng,-6.144,106.7284,urban,Jakarta Barat,21500,3,16,5,2024,137,0,Kemarau,Cerah,35.7,71.4,0.0,Tidak Ada,0,0,419790.74,236692.84,183097.9,55947.42
2024-05-16,Jakarta Barat - Grogol Petamburan,-6.1684,106.7851,komersial,Jakarta Barat,19800,3,16,5,2024,137,0,Kemarau,Cerah,29.3,59.2,0.6,Tidak Ada,0,0,380785.96,225940.14,154845.82,74026.41
2024-05-16,Jakarta Barat - Tambora,-6.1503,106.8043,urban,Jakarta Barat,44400,3,16,5,2024,137,0,Kemarau,Cerah,35.2,65.2,0.0,Tidak Ada,0,0,733168.72,453721.46,279447.27,92246.82
2024-05-16,Jakarta Barat - Kebon Jeruk,-6.1901,106.7673,urban,Jakarta Barat,17500,3,16,5,2024,137,0,Kemarau,Cerah,32.7,66.9,2.0,Tidak Ada,0,0,283594.49,161162.95,122431.54,60536.48
2024-05-16,Jakarta Selatan - Kebayoran Baru,-6.2447,106.7969,urban,Jakarta Selatan,14800,3,16,5,2024,137,0,Kemarau,Cerah,32.1,58.6,12.6,Tidak Ada,0,0,228239.01,142193.8,86045.21,28477.75
2024-05-16,Jakarta Selatan - Tebet,-6.2262,106.8492,urban,Jakarta Selatan,21200,3,16,5,2024,137,0,Kemarau,Cerah,29.8,77.5,0.0,Tidak Ada,0,0,342843.59,191711.25,151132.34,44369.34
2024-05-16,Jakarta Selatan - Pancoran,-6.248,106.8418,urban,Jakarta Selatan,17600,3,16,5,2024,137,0,Kemarau,Cerah,32.8,56.1,6.0,Tidak Ada,0,0,315220.94,184287.75,130933.19,52474.0
2024-05-16,Jakarta Selatan - Jagakarsa,-6.3325,106.8256,suburban,Jakarta Selatan,11500,3,16,5,2024,137,0,Kemarau,Cerah,32.5,76.7,6.8,Tidak Ada,0,0,142855.9,86276.07,56579.83,26913.53
2024-05-16,Jakarta Timur - Jatinegara,-6.2194,106.8706,komersial,Jakarta Timur,21800,3,16,5,2024,137,0,Kemarau,Cerah,28.2,73.7,5.7,Tidak Ada,0,0,473478.89,292475.88,181003.01,83965.19
2024-05-16,Jakarta Timur - Cakung,-6.1824,106.9372,industri,Jakarta Timur,14200,3,16,5,2024,137,0,Kemarau,Cerah,28.9,61.3,8.7,Tidak Ada,0,0,208265.58,131632.74,76632.84,38560.06
2024-05-16,Jakarta Timur - Duren Sawit,-6.2361,106.91,urban,Jakarta Timur,17300,3,16,5,2024,137,0,Kemarau,Cerah,30.0,70.1,0.0,Tidak Ada,0,0,273817.6,151666.56,122151.04,49786.99
2024-05-16,Jakarta Timur - Matraman,-6.2026,106.8589,urban,Jakarta Timur,36200,3,16,5,2024,137,0,Kemarau,Cerah,31.5,70.9,0.0,Tidak Ada,0,0,700214.45,408968.97,291245.48,102279.94
2024-05-16,Kepulauan Seribu - Pulau Pramuka,-5.744,106.6145,wisata,Kepulauan Seribu,450,3,16,5,2024,137,0,Kemarau,Cerah,35.7,67.6,2.1,Tidak Ada,0,0,10234.61,5669.14,4565.47,1655.9
2024-05-17,Jakarta Pusat - Menteng,-6.1944,106.8367,urban,Jakarta Pusat,12500,4,17,5,2024,138,0,Kemarau,Berawan,29.3,68.4,11.4,Tidak Ada,0,0,260808.05,162526.39,98281.66,34627.22
2024-05-17,Jakarta Pusat - Tanah Abang,-6.1857,106.811,komersial,Jakarta Pusat,22000,4,17,5,2024,138,0,Kemarau,Berawan,33.7,60.5,8.4,Tidak Ada,0,0,457169.27,262351.01,194818.26,85940.73
2024-05-17,Jakarta Pusat - Kemayoran,-6.1567,106.8557,urban,Jakarta Pusat,26500,4,17,5,2024,138,0,Kemarau,Berawan,29.7,57.3,0.0,Tidak Ada,0,0,495268.17,296990.59,198277.58,78728.72
2024-05-17,Jakarta Pusat - Gambir,-6.1754,106.8272,pemerintahan,Jakarta Pusat,9800,4,17,5,2024,138,0,Kemarau,Berawan,31.3,66.3,7.9,Tidak Ada,0,0,149185.74,96326.26,52859.48,27998.73
2024-05-17,Jakarta Utara - Tanjung Priok,-6.1247,106.877,industri,Jakarta Utara,13500,4,17,5,2024,138,0,Kemarau,Berawan,34.0,57.6,13.7,Tidak Ada,0,0,221377.39,126466.88,94910.51,47511.89
2024-05-17,Jakarta Utara - Penjaringan,-6.1171,106.796,urban,Jakarta Utara,19200,4,17,5,2024,138,0,Kemarau,Berawan,33.2,74.3,11.4,Tidak Ada,0,0,348430.19,216229.91,132200.29,75562.38
2024-05-17,Jakarta Utara - Kelapa Gading,-6.1588,106.9054,komersial,Jakarta Utara,11800,4,17,5,2024,138,0,Kemarau,Berawan,30.6,75.5,3.3,Tidak Ada,0,0,242200.12,143530.01,98670.11,34454.82
2024-05-17,Jakarta Barat - Cengkareng,-6.144,106.7284,urban,Jakarta Barat,21500,4,17,5,2024,138,0,Kemarau,Berawan,34.8,75.2,0.0,Tidak Ada,0,0,379581.53,217622.75,161958.78,67615.06
2024-05-17,Jakarta Barat - Grogol Petamburan,-6.1684,106.7851,komersial,Jakarta Barat,19800,4,17,5,2024,138,0,Kemarau,Berawan,33.4,66.1,2.1,Tidak Ada,0,0,415873.43,253345.47,162527.97,64469.46
2024-05-17,Jakarta Barat - Tambora,-6.1503,106.8043,urban,Jakarta Barat,44400,4,17,5,2024,138,0,Kemarau,Berawan,30.9,60.8,0.0,Tidak Ada,0,0,895784.37,514961.73,380822.65,137077.63
